;neg;pos;neu;compound;Ticker;;;;;
0;0,072001074;0,08563323;0,842259048;0,090059929;2005-2;;;;;
0;0,073914929;0,082903235;0,843181641;0,064846706;2005-3;;;;;
0;0,071721807;0,081660118;0,846422495;0,081155923;2005-4;;;;;
0;0,071667205;0,086368991;0,841397112;0,117191877;2005-5;;;;;
0;0,073060307;0,083402512;0,8430314;0,102959609;2005-6;;;;;
0;0,074575794;0,083129536;0,841894492;0,10041594;2005-7;;;;;
0;0,075163436;0,081177459;0,843039596;0,081688472;2005-8;;;;;
0;0,076062598;0,081852477;0,841497172;0,079370437;2005-9;;;;;
0;0,070642584;0,08476013;0,844019591;0,10949181;2005-10;;;;;
0;0,073931491;0,086597927;0,839178381;0,112720918;2005-11;;;;;
0;0,07615745;0,085373014;0,837865071;0,107586386;2005-12;;;;;
0;0,073064942;0,085742854;0,840819886;0,107675447;2006-1;;;;;
0;0,076905583;0,085899302;0,836203091;0,102131057;2006-2;;;;;
0;0,075158857;0,079813952;0,84470365;0,072689884;2006-3;;;;;
0;0,075924897;0,080193652;0,843135697;0,069524823;2006-4;;;;;
0;0,072201853;0,081936604;0,845323178;0,059665796;2006-5;;;;;
0;0,071957112;0,08350407;0,844070686;0,067671289;2006-6;;;;;
0;0,072736043;0,083311739;0,843249405;0,070900049;2006-7;;;;;
0;0,075840568;0,08194714;0,842064725;0,038863787;2006-8;;;;;
0;0,073925446;0,080208699;0,845529596;0,043392185;2006-9;;;;;
0;0,071163557;0,082197373;0,84616578;0,062344156;2006-10;;;;;
0;0,069061951;0,08485008;0,845492614;0,083402435;2006-11;;;;;
0;0,068461889;0,08477818;0,846158749;0,084628348;2006-12;;;;;
0;0,071761164;0,082334345;0,845020493;0,04882291;2007-1;;;;;
0;0,073177985;0,085103952;0,841159198;0,047790996;2007-2;;;;;
0;0,073891671;0,078713218;0,846325937;0,033392288;2007-3;;;;;
0;0,069106966;0,078043381;0,852101884;0,042594584;2007-4;;;;;
0;0,073307245;0,080045675;0,845313666;0,034408347;2007-5;;;;;
0;0,067825881;0,078961604;0,852609478;0,053563937;2007-6;;;;;
0;0,069250993;0,079358612;0,850331853;0,04644334;2007-7;;;;;
0;0,073664062;0,076803126;0,849525245;0,020446508;2007-8;;;;;
0;0,069253117;0,082355732;0,848282467;0,06177086;2007-9;;;;;
0;0,070308963;0,083233762;0,846346407;0,05516583;2007-10;;;;;
0;0,072997352;0,08486405;0,842136986;0,045276229;2007-11;;;;;
0;0,071252176;0,087224727;0,841523544;0,056623086;2007-12;;;;;
0;0,068854012;0,082900984;0,848244293;0,059585888;2008-1;;;;;
0;0,069000771;0,085537157;0,845457338;0,070214279;2008-2;;;;;
0;0,069671896;0,081933375;0,848392741;0,052570474;2008-3;;;;;
0;0,068321304;0,080751402;0,850921367;0,05411923;2008-4;;;;;
0;0,068301753;0,082503908;0,849087347;0,057673638;2008-5;;;;;
0;0,063938194;0,082404035;0,853441289;0,069701099;2008-6;;;;;
0;0,064530945;0,083121098;0,852348278;0,069833648;2008-7;;;;;
0;0,064645657;0,083728528;0,851624745;0,076214969;2008-8;;;;;
0;0,066570248;0,079950599;0,853197883;0,04858569;2008-9;;;;;
0;0,070156345;0,082857254;0,846987874;0,048507198;2008-10;;;;;
0;0,066446887;0,083378456;0,850176049;0,062449811;2008-11;;;;;
0;0,070723981;0,089761567;0,839513466;0,068459238;2008-12;;;;;
0;0,064734356;0,084600599;0,850662239;0,074702264;2009-1;;;;;
0;0,069001092;0,085429011;0,845571287;0,064308638;2009-2;;;;;
0;0,067581525;0,084284366;0,848134639;0,069836457;2009-3;;;;;
0;0,068079515;0,081749864;0,850166274;0,057896694;2009-4;;;;;
0;0,065798562;0,085270613;0,848857248;0,075891498;2009-5;;;;;
0;0,06338271;0,084287657;0,852332339;0,083738784;2009-6;;;;;
0;0,064001607;0,084925842;0,85106992;0,083217608;2009-7;;;;;
0;0,065933714;0,084265221;0,849796423;0,079385647;2009-8;;;;;
0;0,061625635;0,083769405;0,854606677;0,087620099;2009-9;;;;;
0;0,061714738;0,083055164;0,855227576;0,078169314;2009-10;;;;;
0;0,065027778;0,084936599;0,850031807;0,073442398;2009-11;;;;;
